ticket_id,customer_id,ticket_date,issue_type,resolved
TKT0000-1,CUST00203,2024-08-17,Billing,Yes
TKT0000-2,CUST00203,2024-07-22,Technical Error,Yes
TKT0000-3,CUST00203,2024-07-22,Other,Yes
TKT0001-1,CUST00266,2024-09-26,Account Setup,Yes
TKT0001-2,CUST00266,2024-10-09,Technical Error,No
TKT0001-3,CUST00266,2024-10-21,Other,No
TKT0002-1,CUST00152,2024-01-10,Other,Yes
TKT0003-1,CUST00009,2024-10-03,Technical Error,No
TKT0004-1,CUST00233,2024-09-18,Other,Yes
TKT0004-2,CUST00233,2024-08-21,Account Setup,Yes
TKT0004-3,CUST00233,2024-09-14,Billing,No
TKT0005-1,CUST00226,2024-08-16,Billing,Yes
TKT0005-2,CUST00226,2024-09-04,Billing,Yes
TKT0006-1,CUST00196,2024-07-16,Billing,Yes
TKT0006-2,CUST00196,2024-07-15,Login Issue,Yes
TKT0007-1,CUST00109,2024-05-17,Billing,Yes
TKT0007-2,CUST00109,2024-04-21,Billing,No
TKT0007-3,CUST00109,2024-05-01,Technical Error,Yes
TKT0008-1,CUST00005,2024-06-04,Other,Yes
TKT0009-1,CUST00175,2024-07-09,Technical Error,No
TKT0009-2,CUST00175,2024-07-08,Technical Error,Yes
TKT0010-1,CUST00237,2024-09-15,Account Setup,Yes
TKT0010-2,CUST00237,2024-09-23,Other,Yes
TKT0010-3,CUST00237,2024-09-19,Login Issue,Yes
TKT0011-1,CUST00057,2024-03-12,Account Setup,Yes
TKT0011-2,CUST00057,2024-02-27,Other,Yes
TKT0012-1,CUST00218,2024-06-14,Technical Error,Yes
TKT0013-1,CUST00045,2024-02-29,Account Setup,Yes
TKT0013-2,CUST00045,2024-03-05,Other,No
TKT0014-1,CUST00182,2024-02-05,Account Setup,Yes
TKT0014-2,CUST00182,2024-01-25,Technical Error,Yes
TKT0015-1,CUST00221,2024-09-12,Billing,No
TKT0015-2,CUST00221,2024-09-30,Login Issue,Yes
TKT0016-1,CUST00289,2024-11-10,Billing,Yes
TKT0017-1,CUST00211,2024-08-28,Login Issue,Yes
TKT0017-2,CUST00211,2024-08-19,Login Issue,No
TKT0018-1,CUST00148,2024-06-01,Other,Yes
TKT0018-2,CUST00148,2024-06-08,Billing,Yes
TKT0018-3,CUST00148,2024-06-01,Login Issue,Yes
TKT0019-1,CUST00165,2024-06-28,Login Issue,Yes
TKT0020-1,CUST00078,2024-04-07,Other,Yes
TKT0020-2,CUST00078,2024-04-13,Billing,Yes
TKT0021-1,CUST00113,2024-04-26,Login Issue,Yes
TKT0021-2,CUST00113,2024-04-27,Billing,Yes
TKT0021-3,CUST00113,2024-04-27,Technical Error,Yes
TKT0022-1,CUST00249,2024-06-18,Billing,No
TKT0022-2,CUST00249,2024-06-09,Other,Yes
TKT0022-3,CUST00249,2024-06-24,Billing,Yes
TKT0023-1,CUST00250,2024-07-28,Technical Error,Yes
TKT0023-2,CUST00250,2024-08-05,Login Issue,Yes
TKT0023-3,CUST00250,2024-07-27,Account Setup,No
TKT0024-1,CUST00104,2024-04-14,Login Issue,Yes
TKT0024-2,CUST00104,2024-04-24,Technical Error,Yes
TKT0024-3,CUST00104,2024-04-25,Billing,Yes
TKT0025-1,CUST00042,2024-12-04,Login Issue,Yes
TKT0025-2,CUST00042,2024-12-30,Billing,Yes
TKT0026-1,CUST00281,2024-08-11,Account Setup,Yes
TKT0026-2,CUST00281,2024-08-13,Billing,Yes
TKT0027-1,CUST00295,2024-11-01,Other,Yes
TKT0028-1,CUST00157,2024-06-26,Other,Yes
TKT0029-1,CUST00238,2024-08-30,Login Issue,Yes
TKT0029-2,CUST00238,2024-08-28,Login Issue,Yes
TKT0030-1,CUST00017,2024-02-03,Other,Yes
TKT0030-2,CUST00017,2024-02-09,Other,Yes
TKT0031-1,CUST00164,2024-06-21,Login Issue,Yes
TKT0031-2,CUST00164,2024-07-02,Login Issue,Yes
TKT0031-3,CUST00164,2024-07-09,Account Setup,Yes
TKT0032-1,CUST00033,2024-03-10,Account Setup,Yes
TKT0033-1,CUST00024,2024-02-21,Technical Error,Yes
TKT0033-2,CUST00024,2024-02-08,Other,Yes
TKT0033-3,CUST00024,2024-02-05,Login Issue,Yes
TKT0034-1,CUST00215,2024-03-11,Other,Yes
TKT0035-1,CUST00119,2024-05-05,Other,No
TKT0036-1,CUST00007,2024-08-07,Billing,Yes
TKT0036-2,CUST00007,2024-08-23,Other,Yes
TKT0037-1,CUST00090,2024-04-14,Technical Error,Yes
TKT0037-2,CUST00090,2024-04-25,Technical Error,No
TKT0038-1,CUST00046,2024-02-22,Other,Yes
TKT0038-2,CUST00046,2024-02-24,Billing,No
TKT0039-1,CUST00073,2024-03-18,Other,Yes
TKT0039-2,CUST00073,2024-04-01,Other,Yes
TKT0040-1,CUST00093,2024-03-10,Login Issue,Yes
TKT0041-1,CUST00076,2024-04-13,Account Setup,Yes
TKT0041-2,CUST00076,2024-04-07,Account Setup,Yes
TKT0042-1,CUST00286,2024-10-19,Account Setup,Yes
TKT0042-2,CUST00286,2024-10-30,Technical Error,Yes
TKT0042-3,CUST00286,2024-11-01,Technical Error,Yes
TKT0043-1,CUST00060,2024-01-11,Login Issue,Yes
TKT0043-2,CUST00060,2024-01-30,Login Issue,Yes
TKT0043-3,CUST00060,2024-01-19,Login Issue,No
TKT0044-1,CUST00077,2024-04-07,Billing,Yes
TKT0044-2,CUST00077,2024-03-30,Other,Yes
TKT0045-1,CUST00063,2024-04-23,Account Setup,No
TKT0045-2,CUST00063,2024-04-06,Account Setup,Yes
TKT0046-1,CUST00234,2024-09-08,Login Issue,Yes
TKT0047-1,CUST00229,2024-08-17,Other,Yes
TKT0047-2,CUST00229,2024-08-19,Login Issue,No
TKT0047-3,CUST00229,2024-08-26,Technical Error,Yes
TKT0048-1,CUST00111,2024-04-28,Billing,Yes
TKT0049-1,CUST00231,2024-08-26,Billing,Yes
TKT0049-2,CUST00231,2024-09-15,Technical Error,Yes
TKT0050-1,CUST00180,2024-07-20,Login Issue,Yes
TKT0050-2,CUST00180,2024-07-19,Technical Error,Yes
TKT0050-3,CUST00180,2024-07-14,Other,Yes
TKT0051-1,CUST00144,2024-06-21,Billing,Yes
TKT0051-2,CUST00144,2024-05-28,Login Issue,Yes
TKT0051-3,CUST00144,2024-06-16,Billing,Yes
TKT0052-1,CUST00239,2024-09-18,Login Issue,Yes
TKT0053-1,CUST00075,2024-03-30,Login Issue,Yes
TKT0053-2,CUST00075,2024-04-10,Login Issue,No
TKT0054-1,CUST00297,2024-11-09,Other,Yes
TKT0054-2,CUST00297,2024-11-01,Account Setup,Yes
TKT0054-3,CUST00297,2024-11-13,Technical Error,Yes
TKT0055-1,CUST00278,2024-05-14,Account Setup,Yes
TKT0055-2,CUST00278,2024-05-14,Other,No
TKT0055-3,CUST00278,2024-05-19,Account Setup,Yes
TKT0056-1,CUST00097,2024-07-12,Login Issue,No
TKT0056-2,CUST00097,2024-07-16,Technical Error,Yes
TKT0057-1,CUST00092,2024-02-11,Billing,Yes
TKT0058-1,CUST00192,2024-12-02,Billing,Yes
TKT0058-2,CUST00192,2024-11-28,Account Setup,Yes
TKT0058-3,CUST00192,2024-11-18,Login Issue,Yes
TKT0059-1,CUST00025,2024-02-24,Account Setup,Yes
